PHASE;DOY;MAX;SC
18;155;1;0,87
18;156;0;0,87
18;157;1;0,87
18;158;1;0,87
18;159;0;0,87
18;160;2;0,87
18;161;2;0,87
18;162;1;0,87
18;163;1;0,87
18;164;0;0,87
18;165;0;0,87
18;166;2;0,87
18;167;1;0,87
18;168;0;0,87
18;169;0;0,87
18;170;0;0,87
18;171;1;0,87
18;172;2;0,87
18;173;2;0,87
18;174;0;0,87
18;175;0;0,87
18;176;1;0,87
18;177;2;0,87
18;178;0;0,87
18;179;0;0,87
18;180;0;0,87
19;181;1;0,93
19;182;1;0,93
19;183;0;0,93
19;184;1;0,93
19;185;1;0,93
19;186;2;0,93
19;187;1;0,93
19;188;1;0,93
19;189;2;0,93
19;190;1;0,93
19;191;1;0,93
19;192;1;0,93
19;193;3;0,93
19;194;2;0,93
19;195;1;0,93
19;196;0;0,93
19;197;0;0,93
19;198;0;0,93
21;199;1;0,93
21;200;1;0,93
21;201;0;0,93
21;202;2;0,93
21;203;3;0,93
21;204;0;0,93
21;205;1;0,93
21;206;1;0,93
21;207;1;0,93
21;208;2;0,93
21;209;2;0,93
21;210;1;0,93
21;211;0;0,93
21;212;0;0,93
21;213;0;0,93
24;214;1;0,84
24;215;0;0,84
24;216;1;0,84
24;217;1;0,84
24;218;1;0,84
24;219;0;0,84
24;220;0;0,84
24;221;1;0,84
24;222;1;0,84
24;223;0;0,84
24;224;0;0,84
24;225;0;0,84
24;226;1;0,84
24;227;2;0,84
24;228;0;0,84
24;229;2;0,84
100;230;0;0,5
100;231;0;0,5
100;232;0;0,5
100;233;3;0,5
100;234;1;0,5
100;235;0;0,5
100;236;2;0,5
100;237;0;0,5
100;238;1;0,5
100;239;0;0,5
100;240;0;0,5
100;241;0;0,5
100;242;0;0,5
100;243;1;0,5
100;244;0;0,5
100;245;1;0,5
100;246;0;0,5
100;247;1;0,5
100;248;0;0,5
100;249;1;0,5
100;250;1;0,5
100;251;0;0,5
100;252;3;0,5
100;253;1;0,5
100;254;1;0,5
100;255;0;0,5
100;256;0;0,5
100;257;0;0,5
100;258;1;0,5
100;259;0;0,5
100;260;0;0,5
100;261;1;0,5
100;262;0;0,5
100;263;0;0,5
100;264;0;0,5
100;265;0;0,5
100;266;0;0,5
100;267;1;0,5
100;268;0;0,5
100;269;0;0,5
100;270;1;0,5
100;271;0;0,5
100;272;1;0,5
100;273;0;0,5
10;274;1;0
10;275;0;0
10;276;0;0
10;277;0;0
10;278;0;0
10;279;0;0
10;280;0;0
10;281;0;0
10;282;0;0
10;283;0;0
10;284;0;0
10;285;0;0
10;286;0;0
10;287;0;0
12;288;0;0,07
12;289;0;0,07
12;290;0;0,07
12;291;0;0,07
12;292;0;0,07
12;293;0;0,07
12;294;0;0,07
12;295;0;0,07
12;296;0;0,07
12;297;0;0,07
12;298;0;0,07
12;299;0;0,07
12;300;0;0,07
12;301;0;0,07
12;302;0;0,07
12;303;0;0,07
12;304;0;0,07
12;305;0;0,07
12;306;0;0,07
12;307;0;0,07
12;308;0;0,07
12;309;0;0,07
12;310;0;0,07
12;311;0;0,07
12;312;0;0,07
12;313;0;0,07
12;314;0;0,07
12;315;0;0,07
12;316;0;0,07
12;317;1;0,07
12;318;0;0,07
12;319;0;0,07
12;320;0;0,07
12;321;0;0,07
12;322;0;0,07
12;323;0;0,07
12;324;0;0,07
12;325;0;0,07
12;326;0;0,07
12;327;0;0,07
12;328;0;0,07
12;329;0;0,07
12;330;0;0,07
12;331;0;0,07
12;332;0;0,07
12;333;0;0,07
12;334;0;0,07
12;335;0;0,07
12;336;0;0,07
12;337;0;0,07
12;338;0;0,07
12;339;0;0,07
12;340;0;0,07
12;341;0;0,07
12;342;0;0,07
12;343;0;0,07
12;344;0;0,07
12;345;0;0,07
12;346;0;0,07
12;347;0;0,07
12;348;0;0,07
12;349;0;0,07
12;350;0;0,07
12;351;0;0,07
12;352;0;0,07
12;353;0;0,07
12;354;0;0,07
12;355;0;0,07
12;356;0;0,07
12;357;0;0,07
12;358;0;0,07
12;359;0;0,07
12;360;0;0,07
12;361;0;0,07
12;362;0;0,07
12;363;0;0,07
12;364;0;0,07
12;365;0;0,07
